Goodyera rubicunda (Blume) Lindl.	ORCHIDACEAE(蘭科)\n毛苞斑葉蘭\n長苞斑葉蘭 
華東膜蕨	Hymenophyllum barbatum (v. d. Bosch) Bak.\nHYMENOPHYLLACEAE
台灣膜蕨	Hymenophyllum devolii Lai\nHYMENOPHYLLACEAE
寬片膜蕨	Hymenophyllum simonsianum Hook.\nHYMENOPHYLLACEAE
叢葉蕗蕨	Hymenophyllum fimbriatum J. Sm.\nHYMENOPHYLLACEAE
南洋蕗蕨	Hymenophyllum productum Kunze\nHYMENOPHYLLACEAE
台灣蕗蕨	Hymenophyllum taiwanense (Tagawa) Morton\nHYMENOPHYLLACEAE
蕗蕨	Mecodium badium (Hook. & Grev.) Copel.\nHYMENOPHYLLACEAE
爪哇蕗蕨	Mecodium javanicum (Spreng.) Copel.\nHYMENOPHYLLACEAE
長毛蕗蕨	Mecodium oligosorum (Makino) H. Ito\nHYMENOPHYLLACEAE
細葉蕗蕨	Mecodium polyanthos (Sw.) Copel.\nHYMENOPHYLLACEAE
萊氏蕗蕨	Mecodium wrightii (v. d. Bosch) Copel.\nHYMENOPHYLLACEAE
爪哇厚壁蕨	Meringium blandum (Racib.) Copel.\nHYMENOPHYLLACEAE
厚壁蕨	Meringium denticulatum (Sw.) Copel.\nHYMENOPHYLLACEAE
南洋厚壁蕨	Meringium holochilum (v. d. Bosch) Copel.\nHYMENOPHYLLACEAE
叉脈單葉假脈蕨	Microgonium bimarginatum v. d. Bosch\nHYMENOPHYLLACEAE
細柄單葉假脈蕨	Microgonium motleyi v. d. Bosch\nHYMENOPHYLLACEAE
盾形單葉假脈蕨	Microgonium omphalodes Vieill. ex Fourn.\nHYMENOPHYLLACEAE
細口團扇蕨	Microtrichomanes nitidulum (v. d. Bosch) Copel.\nHYMENOPHYLLACEAE
球桿毛蕨	Nesopteris thysanostoma (Makino) Copel.\nHYMENOPHYLLACEAE
毛葉蕨	Pleuromanes pallidum (Bl.) Presl\nHYMENOPHYLLACEAE
厚邊蕨	Reediella humilis (Forst.) Pichi-Sermolli\nHYMENOPHYLLACEAE
線片長筒蕨	Selenodesmium obscurum (Bl.) Copel.\nHYMENOPHYLLACEAE
瓶蕨	Vandenboschia auriculata (Bl.) Copel.\nHYMENOPHYLLACEAE
大葉瓶蕨	Vandenboschia maxima (Bl.) Copel.\nHYMENOPHYLLACEAE
熱帶瓶蕨	Vandenboschia pyxidifera (L.) Copel.\nHYMENOPHYLLACEAE
南海瓶蕨	Vandenboschia radicans (Sw.) Copel.\nHYMENOPHYLLACEAE
倒葉瘤足蕨	Plagiogyria dunnii Copel.\nPLAGIOGYRIACEAE
華中瘤足蕨	Plagiogyria euphlebia (Kunze) Mett.\nPLAGIOGYRIACEAE
台灣瘤足蕨	Plagiogyria formosana Nakai\nPLAGIOGYRIACEAE
華東瘤足蕨	Plagiogyria japonica Nakai\nPLAGIOGYRIACEAE
小泉氏瘤足蕨	Plagiogyria koidzumii Tagawa\nPLAGIOGYRIACEAE
瘤足蕨	Plagiogyria rankanensis Hayata\nPLAGIOGYRIACEAE
耳形瘤足蕨	Plagiogyria stenoptera (Hance) Diels\nPLAGIOGYRIACEAE
金狗毛蕨	Cibotium barometz (L.) J. Sm.\nDICKSONIACEAE
台灣金狗毛蕨	Cibotium taiwanense Kuo\nDICKSONIACEAE
蘭嶼筆筒樹	Cyathea fenicis Copel.\nCYATHEACEAE
韓氏桫欏	Cyathea hancockii Copel.\nCYATHEACEAE
筆筒樹	Cyathea lepifera (J. Sm. ex Hook.) Copel.\nCYATHEACEAE
南洋桫欏	Cyathea loheri Christ\nCYATHEACEAE
台灣樹蕨	Cyathea metteniana (Hance) C. Chr.& Tard.-Blot\nCYATHEACEAE
鬼桫欏	Cyathea podophylla (Hook.) Copel.\nCYATHEACEAE
台灣桫欏	Cyathea spinulosa Wall. ex Hook.\nCYATHEACEAE
細毛碗蕨	Dennstaedtia hirsuta (Sw.) Mett. ex Miq.\nDENNSTAEDTIACEAE
碗蕨	Dennstaedtia scabra (Wall. ex Hook.) Moore\nDENNSTAEDTIACEAE
刺柄碗蕨	Dennstaedtia scandens (Bl.) Moore\nDENNSTAEDTIACEAE
司氏碗蕨	Dennstaedtia smithii (Hook.) Moore\nDENNSTAEDTIACEAE
栗蕨	Histiopteris incisa (Thunb.) J. Sm.\nDENNSTAEDTIACEAE
姬蕨	Hypolepis punctata (Thunb.) Mett.\nDENNSTAEDTIACEAE
細葉姬蕨	Hypolepis tenuifolia (Forst.) Bernh.\nDENNSTAEDTIACEAE
光葉鱗蓋蕨	Microlepia calvescens (Wall. ex Hook.) Presl\nDENNSTAEDTIACEAE
羽葉鱗蓋蕨	Microlepia calvescens (Wall. ex Hook.) Presl var. intramarginalis (Tagawa) Shieh\nDENNSTAEDTIACEAE
虎克氏鱗蓋蕨	Microlepia hookeriana (Wall. ex Hook.) Presl\nDENNSTAEDTIACEAE
邊緣鱗蓋蕨	Microlepia marginata (Panzer) C. Chr.\nDENNSTAEDTIACEAE
台北鱗蓋蕨	Microlepia marginata (Panzer) C. Chr. var. bipinnata Makino\nDENNSTAEDTIACEAE
團羽鱗蓋蕨	Microlepia obtusiloba Hayata\nDENNSTAEDTIACEAE
闊葉鱗蓋蕨	Microlepia platyphylla (Don) J. Sm.\nDENNSTAEDTIACEAE
熱帶鱗蓋蕨	Microlepia speluncae (L.) Moore\nDENNSTAEDTIACEAE
粗毛鱗蓋蕨	Microlepia strigosa (Thunb.) Presl\nDENNSTAEDTIACEAE
亞粗毛鱗蓋蕨	Microlepia substrigosa Tagawa\nDENNSTAEDTIACEAE
台灣鱗蓋蕨	Microlepia taiwaniana Tagawa\nDENNSTAEDTIACEAE
嫩鱗蓋蕨	Microlepia tenera Christ\nDENNSTAEDTIACEAE
針毛鱗蓋蕨	Microlepia trapeziformis (Roxb.) Kuhn\nDENNSTAEDTIACEAE
毛果鱗蓋蕨	Microlepia trichocarpa Hayata\nDENNSTAEDTIACEAE
克氏鱗蓋蕨	Microlepia krameri C. M. Kuo\nDENNSTAEDTIACEAE
斜方鱗蓋蕨	Microlepia rhomboidea (Wall. ex Kunze) Prantl\nDENNSTAEDTIACEAE
中華鱗蓋蕨	Microlepia sinostrigosa Ching\nDENNSTAEDTIACEAE
稀子蕨	Monachosorum henryi Christ\nDENNSTAEDTIACEAE
岩穴蕨	Monachosorum maximowiczii (Bak.) Hayata\nDENNSTAEDTIACEAE
台灣曲軸蕨	Paesia taiwanensis Shieh\nDENNSTAEDTIACEAE
蕨	Pteridium aquilinum (L.) Kuhn subsp. latiusculum (Desv.) Shieh\nDENNSTAEDTIACEAE
巒大蕨	Pteridium aquilinum (L.) Kuhn subsp. wightianum (Wall.) Shieh\nDENNSTAEDTIACEAE
網脈陵齒蕨	Lindsaea cultrata (Willd.) Sw.\nLINDSAEACEAE
箭葉陵齒蕨	Lindsaea ensifolia Sw.\nLINDSAEACEAE
異葉陵齒蕨	Lindsaea heterophylla Dry.\nLINDSAEACEAE
日本陵齒蕨	Lindsaea japonica (Bak.) Diels\nLINDSAEACEAE
攀緣陵齒蕨	Lindsaea merrillii Copel. var. yaeyamensis (Tagawa) Kramer\nLINDSAEACEAE
陵齒蕨	Lindsaea odorata Roxb.\nLINDSAEACEAE
圓葉陵齒蕨	Lindsaea orbiculata (Lam.) Mett. ex Kuhn\nLINDSAEACEAE
海島陵齒蕨	Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. commixta (Tagawa) Shieh\nLINDSAEACEAE
三角葉陵齒蕨	Lindsaea orbiculata (Lam.) Mett. ex Kuhn var. deltoidea Wu\nLINDSAEACEAE
方柄陵齒蕨	Lindsaea securifolia Presl var. kusukusensis (Hayata) Shieh\nLINDSAEACEAE
錢氏鱗始蕨	Lindsaea chienii Ching\nLINDSAEACEAE
爪哇鱗始蕨	Lindsaea javanensis Bl.\nLINDSAEACEAE
細葉鱗始蕨	Lindsaea kawabatae Kurata\nLINDSAEACEAE
鈍齒鱗始蕨	Lindsaea obtusa J. Sm.\nLINDSAEACEAE
闊片烏蕨	Sphenomeris biflora (Kaulf.) Tagawa\nLINDSAEACEAE
烏蕨	Sphenomeris chusana (L.) Copel.\nLINDSAEACEAE
達邊蕨	Tapeinidium pinnatum (Cav.) C. Chr.\nLINDSAEACEAE
二羽達邊蕨	Tapeinidium pinnatum (Cav.) C. Chr. var. biserratum (Bl.) Shieh\nLINDSAEACEAE
細葉達邊蕨	Tapeinidium gracile (Bl.) v. A. v. R\nLINDSAEACEAE
台灣小膜蓋蕨	Araiostegia parvipinnata (Hayata) Copel.\nDAVALLIACEAE
大葉骨碎補	Davallia formosana Hayata\nDAVALLIACEAE
海州骨碎補	Davallia mariesii Moore ex Bak.\nDAVALLIACEAE
闊葉骨碎補	Davallia solida (Forst.) Sw.\nDAVALLIACEAE
圓蓋陰石蕨	Davallia tyermanni Moore\nDAVALLIACEAE
阿里山陰石蕨	Humata chrysanthemifolia (Hayata) Hayata\nDAVALLIACEAE
杯狀蓋陰石蕨	Humata griffithiana (Hook.) C. Chr.\nDAVALLIACEAE
馬來陰石蕨	Humata pectinata (J. Sm.) Desv.\nDAVALLIACEAE
陰石蕨	Humata repens (L. f.) Diels\nDAVALLIACEAE
鱗葉陰石蕨	Humata trifoliata Cav.\nDAVALLIACEAE
熱帶陰石蕨	Humata vestita (Bl.) Moore\nDAVALLIACEAE
大膜蓋蕨	Leucostegia immersa (Wall.) Presl\nDAVALLIACEAE
藤蕨	Arthropteris palisotii (Desv.) Alston\nOLEANDRACEAE
腎蕨	Nephrolepis auriculata (L.) Trimen\nOLEANDRACEAE
長葉腎蕨	Nephrolepis biserrata (Sw.) Schott\nOLEANDRACEAE
毛葉腎蕨	Nephrolepis multiflora (Roxburgh) Jarrett et Morton\nOLEANDRACEAE
蓧蕨	Oleandra wallichii (Hook.) Presl\nOLEANDRACEAE
長柄粉背蕨	Cheilanthes argentea (Gmel.) Kunze\nPTERIDACEAE
細葉碎米蕨	Cheilanthes chusana Hook.\nPTERIDACEAE
深山粉背蕨	Cheilanthes farinosa (Forssk.) Kaulf.\nPTERIDACEAE
毛碎米蕨	Cheilanthes hirsuta (Poir.) Mett.\nPTERIDACEAE
薄葉碎米蕨	Cheilanthes tenuifolia (Burm.) Sw.\nPTERIDACEAE
台灣粉背蕨	Cheilanthes dealbata D. Don.\nPTERIDACEAE
粉背蕨	Cheilanthes mexicana Fee.\nPTERIDACEAE
擬長柄粉背蕨	Cheilanthes subargentea (Ching et S. K. Wu) Kuo\nPTERIDACEAE
高山珠蕨	Cryptogramma brunoniana Wall. ex Hook. & Grev.\nPTERIDACEAE
疏葉珠蕨	Cryptogramma stelleri (Gmel.) Prantl\nPTERIDACEAE
黑心蕨	Doryopteris concolor (Langsd. & Fisch.) Kuhn\nPTERIDACEAE
亨氏擬旱蕨	Mildella henryi (Christ) Hall & Lell.\nPTERIDACEAE
高山金粉蕨	Onychium contiguum (Wall.) Hope\nPTERIDACEAE
日本金粉蕨	Onychium japonicum (Thunb.) Kunze\nPTERIDACEAE
金粉蕨	Onychium siliculosum (Desv.) C. Chr.\nPTERIDACEAE
細葉鳳尾蕨	Pteris angustipinna Tagawa\nPTERIDACEAE
長柄鳳尾蕨	Pteris bella Tagawa\nPTERIDACEAE
弧脈鳳尾蕨	Pteris biaurita L.\nPTERIDACEAE
二形鳳尾蕨	Pteris cadieri Christ\nPTERIDACEAE
大葉鳳尾蕨	Pteris cretica L.\nPTERIDACEAE
掌鳳尾蕨	Pteris dactylina Hook.\nPTERIDACEAE
岩鳳尾蕨	Pteris deltodon Bak.\nPTERIDACEAE
天草鳳尾蕨	Pteris dispar Kunze\nPTERIDACEAE
箭葉鳳尾蕨	Pteris ensiformis Burm.\nPTERIDACEAE
溪鳳尾蕨	Pteris excelsa Gaud.\nPTERIDACEAE
傅氏鳳尾蕨	Pteris fauriei Hieron.\nPTERIDACEAE
台灣鳳尾蕨	Pteris formosana Bak.\nPTERIDACEAE
翅柄鳳尾蕨	Pteris grevilleana Wall\nPTERIDACEAE
城戶氏鳳尾蕨	Pteris kidoi Kurata\nPTERIDACEAE
三角脈鳳尾蕨	Pteris linearis Poir.\nPTERIDACEAE
蓬萊鳳尾蕨	Pteris longipes Don\nPTERIDACEAE
長葉鳳尾蕨	Pteris longipinna Hayata\nPTERIDACEAE
鳳尾蕨	Pteris multifida Poir.\nPTERIDACEAE
日本鳳尾蕨	Pteris nipponica Shieh\nPTERIDACEAE
闊葉鳳尾蕨	Pteris pellucidifolia Hayata\nPTERIDACEAE
紅柄鳳尾蕨	Pteris scabristipes Tagawa\nPTERIDACEAE
半邊羽裂鳳尾蕨	Pteris semipinnata L.\nPTERIDACEAE
有刺鳳尾蕨	Pteris setulosocostulata Hayata\nPTERIDACEAE
鈴木氏鳳尾蕨	Pteris tokioi Masam.\nPTERIDACEAE
三腳鳳尾蕨	Pteris tripartita Sw.\nPTERIDACEAE
爪哇鳳尾蕨	Pteris venusta Kunze\nPTERIDACEAE
鱗蓋鳳尾蕨	Pteris vittata L.\nPTERIDACEAE
瓦氏鳳尾蕨	Pteris wallichiana Ag.\nPTERIDACEAE
烏來鳳尾蕨	Pteris × wulaiensis Kuo\nPTERIDACEAE
琉球鳳尾蕨	Pteris ryukyuensis Tagawa\nPTERIDACEAE
鹵蕨	Acrostichum aureum L.\nADIANTACEAE
團羽鐵線蕨	Adiantum capillusjunonis Rupr.\nADIANTACEAE
鐵線蕨	Adiantum capillusveneris L.\nADIANTACEAE
鞭葉鐵線蕨	Adiantum caudatum L.\nADIANTACEAE
長尾鐵線蕨	Adiantum diaphanum Bl.\nADIANTACEAE
愛氏鐵線蕨	Adiantum edgeworthii Hook.\nADIANTACEAE
扇葉鐵線蕨	Adiantum flabellulatum L.\nADIANTACEAE
深山鐵線蕨	Adiantum formosanum Tagawa\nADIANTACEAE
毛葉鐵線蕨	Adiantum hispidulum Sw.\nADIANTACEAE
馬來鐵線蕨	Adiantum malesianum Ghatak\nADIANTACEAE
石長生	Adiantum monochlamys Eat.\nADIANTACEAE
灰背鐵線蕨	Adiantum myriosorum Bak.\nADIANTACEAE
半月形鐵線蕨	Adiantum philippense L.\nADIANTACEAE
台灣高山鐵線蕨	Adiantum roborowskii Maxim. var. taiwanianum (Tagawa) Shieh\nADIANTACEAE
翅柄鐵線蕨	Adiantum soboliferum Wall. ex Hook.\nADIANTACEAE
梅山鐵線蕨	Adiantum meishanianum Kuo\nADIANTACEAE
王氏鐵線蕨	Adiantum wangii Kuo\nADIANTACEAE
翠蕨	Anogramma leptophylla (L.) Link\nADIANTACEAE
全緣鳳ㄚ蕨	Coniogramme fraxinea (Don) Diels\nADIANTACEAE
華鳳ㄚ蕨	Coniogramme intermedia Heiron.\nADIANTACEAE
日本鳳ㄚ蕨	Coniogramme japonica (Thunb.) Diels\nADIANTACEAE
高山鳳ㄚ蕨	Coniogramme procera (Wall.) Fée\nADIANTACEAE
金毛裸蕨	Gymnopteris vestita (Wall.) Underw.\nADIANTACEAE
澤瀉蕨	Hemionitis arifolia (Burm.) Moore\nADIANTACEAE
粉葉蕨	Pityrogramma calomelanos (L.) Link\nADIANTACEAE
台灣車前蕨	Antrophyum formosanum Heron.\nVITTARIACEAE
車前蕨	Antrophyum obovatum Bak.\nVITTARIACEAE
無柄車前蕨	Antrophyum parvulum Bl.\nVITTARIACEAE
蘭嶼車前蕨	Antrophyum sessilifolium (Cav.) Spring\nVITTARIACEAE
連孢一條線蕨	Vaginularia paradoxa (Fée) Mett.\nVITTARIACEAE
一條線蕨	Vaginularia trichoidea (J. Sm.) Fée\nVITTARIACEAE
姬書帶蕨	Vittaria angusteelongata Hayata\nVITTARIACEAE
書帶蕨	Vittaria flexuosa Fée\nVITTARIACEAE
廣葉書帶蕨	Vittaria taeniophylla Copel.\nVITTARIACEAE
垂葉書帶蕨	Vittaria zosterifolia Willd.\nVITTARIACEAE
東方莢果蕨	Matteuccia orientalis (Hook.) Trev.\nONOCLEACEAE
雉尾烏毛蕨	Blechnum melanopus Hook.\nBLECHNACEAE
烏毛蕨	Blechnum orientale L.\nBLECHNACEAE
蘇鐵蕨	Brainea insignis (Hook.) J. Sm.\nBLECHNACEAE
假桫欏	Diploblechnum fraseri (A. Cunn.) DeVol\nBLECHNACEAE
天長羅曼蕨	Struthiopteris eburnea (Christ) Ching var. obtusa (Tagawa) Tagawa\nBLECHNACEAE
韓氏羅曼蕨	Struthiopteris hancockii (Hance) Tagawa\nBLECHNACEAE
哈氏狗脊蕨	Woodwardia harlandii Hook.\nBLECHNACEAE
日本狗脊蕨	Woodwardia japonica (L. f.) Sm.\nBLECHNACEAE
細葉狗脊蕨	Woodwardia kempii Copel.\nBLECHNACEAE
台灣狗脊蕨	Woodwardia orientalis Sw. var. formosana Rosenst.\nBLECHNACEAE
生芽狗脊蕨	Woodwardia unigemmata (Makino) Nakai\nBLECHNACEAE
頂囊肋毛蕨	Ctenitis apiciflora (Wall. ex Mett.) Ching\nASPIDIACEAE
愛德氏肋毛蕨	Ctenitis eatonii (Bak.) Ching\nASPIDIACEAE
川上氏肋毛蕨	Ctenitis kawakamii (Hayata) Ching\nASPIDIACEAE
白鱗肋毛蕨	Ctenitis maximowicziana (Miq.) Ching\nASPIDIACEAE
肋毛蕨	Ctenitis subglandulosa (Hance) Ching\nASPIDIACEAE
玉山肋毛蕨	Ctenitis transmorrisonensis (Hayata) Tagawa\nASPIDIACEAE
薄葉擬肋毛蕨	Ctenitopsis dissecta (Forst.) Ching\nASPIDIACEAE
屏東擬肋毛蕨	Ctenitopsis fuscipes (Wall. ex Bedd.) C. Chr. ex Tardieu & C. Chr.\nASPIDIACEAE
高士佛擬肋毛蕨	Ctenitopsis kusukusensis (Hayata) C. Chr. ex Tardieu & C. Chr.\nASPIDIACEAE
沙皮蕨	Hemigramma decurrens (Hook.) Copel\nASPIDIACEAE
腫足蕨	Hypodematium crenatum (Forsk.) Kuhn\nASPIDIACEAE
金毛蕨	Lastreopsis tenera (R. Br.) Tindale\nASPIDIACEAE
黃腺羽蕨	Pleocnemia cumingiana Presl\nASPIDIACEAE
長柄牙蕨	Pteridrys cnemidaria (Christ) C. Chr. & Ching\nASPIDIACEAE
地耳蕨	Quercifilix zeylanica (Houtt.) Copel.\nASPIDIACEAE
陰地三叉蕨	Tectaria coadunata (Wall.) C. Chr.\nASPIDIACEAE
翅柄三叉蕨	Tectaria decurrens (Pr.) Copel.\nASPIDIACEAE
薄葉三叉蕨	Tectaria devexa (Kze.) Copel.\nASPIDIACEAE
傅氏三叉蕨	Tectaria fauriei Tagawa\nASPIDIACEAE
花蓮三叉蕨	Tectaria kwarenkoensis (Hayata) C. Chr.\nASPIDIACEAE
蛇脈三叉蕨	Tectaria phaeocaulis (Rosenst.) C. Chr.\nASPIDIACEAE
南投三叉蕨	Tectaria polymorpha (Wall.) Copel.\nASPIDIACEAE
三叉蕨	Tectaria subtriphylla (Hook. & Arn.) Copel.\nASPIDIACEAE
紫柄三叉蕨	Tectaria subtriphylla (Hook. & Arn.) Copel. var. ebenosa (Nakai) Nemoto\nASPIDIACEAE
變葉三叉蕨	Tectaria variolosa (Wall.) C. Chr.\nASPIDIACEAE
雲南三叉蕨	Tectaria yunnanensis (Bak.) Ching\nASPIDIACEAE
葛氏三叉蕨	Tectaria griffithii (Bak.) C. Chr.\nASPIDIACEAE
排灣三叉蕨	Tectaria subfuscipes (Tagawa) Kuo\nASPIDIACEAE
魚鱗蕨	Acrophorus stipellatus (Wall.) Moore\nDRYOPTERIDACEAE
大孢魚鱗蕨	Acrophorus macrocarpus Ching\nDRYOPTERIDACEAE
彎柄假複葉耳蕨	Acrorumohra diffracta (Bak.) H. Ito\nDRYOPTERIDACEAE
哈氏假複葉耳蕨	Acrorumohra hasseltii (Blume) Ching\nDRYOPTERIDACEAE
微彎假複葉耳蕨	Acrorumohra subreflexipinna (Ogata) H. Ito\nDRYOPTERIDACEAE
玉山假複葉耳蕨	Acrorumohra yoroii (Serizawa) Shieh\nDRYOPTERIDACEAE
細葉複葉耳蕨	Arachniodes aristata (Forst.) Tindle\nDRYOPTERIDACEAE
台灣兩面複葉耳蕨	Arachniodes festina (Hance) Ching\nDRYOPTERIDACEAE
台灣複葉耳蕨	Arachniodes globisora (Hayata) Ching\nDRYOPTERIDACEAE
黑鱗複葉耳蕨	Arachniodes nigrospinosa (Ching) Ching\nDRYOPTERIDACEAE
小葉複葉耳蕨	Arachniodes pseudoaristata (Tagawa) Ohwi\nDRYOPTERIDACEAE
斜方複葉耳蕨	Arachniodes rhomboides (Wall.) Ching\nDRYOPTERIDACEAE
屋久複葉耳蕨	Arachniodes rhomboides (Wall.) Ching var. yakusimensis (H. Ito) Shieh\nDRYOPTERIDACEAE
柳葉蕨	Cyrtogonellum fraxinellum (Christ) Ching\nDRYOPTERIDACEAE
細齒貫眾蕨	Cyrtomium caryotideum (Wall.) Presl\nDRYOPTERIDACEAE
全緣貫眾蕨	Cyrtomium falcatum (L. f.) Presl\nDRYOPTERIDACEAE
狹葉貫眾蕨	Cyrtomium hookerianum (Presl) C. Chr.\nDRYOPTERIDACEAE
尖葉貫眾蕨	Cyrtomium macrophyllum (Makino) Tagawa var. acuminatum (Diels) Tagawa\nDRYOPTERIDACEAE
台灣貫眾蕨	Cyrtomium taiwanense Tagawa\nDRYOPTERIDACEAE
紅線蕨	Diacalpe aspidioides Bl.\nDRYOPTERIDACEAE
腺鱗毛蕨	Dryopteris alpestris Tagawa\nDRYOPTERIDACEAE
桫欏鱗毛蕨	Dryopteris atrata (Wall.) Ching\nDRYOPTERIDACEAE
闊葉鱗毛蕨	Dryopteris austriaca (Jacq.) Woynar ex Schinz & Thell.\nDRYOPTERIDACEAE
密毛鱗毛蕨	Dryopteris barbigera (Hook.) Ktze.\nDRYOPTERIDACEAE
擬岩蕨	Dryopteris chrysocoma (Christ) C. Chr.\nDRYOPTERIDACEAE
能高鱗毛蕨	Dryopteris costalisora Tagawa\nDRYOPTERIDACEAE
頂羽鱗毛蕨	Dryopteris enneaphylla (Bak.) C. Chr.\nDRYOPTERIDACEAE
大頂羽鱗毛蕨	Dryopteris enneaphylla (Bak.) C. Chr. var. pseudosieboldii (Hayata) Tagawa & Iwats.\nDRYOPTERIDACEAE
密鱗鱗毛蕨	Dryopteris fibrillosa (Clarke) Hand.-Mzt.\nDRYOPTERIDACEAE
台灣鱗毛蕨	Dryopteris formosana (Christ) C. Chr.\nDRYOPTERIDACEAE
小苞鱗毛蕨	Dryopteris hendersonii (Beddome) C. Chr.\nDRYOPTERIDACEAE
深山鱗毛蕨	Dryopteris hypophlebia Hayata\nDRYOPTERIDACEAE
疏葉鱗毛蕨	Dryopteris labordei (Christ) C. Chr.\nDRYOPTERIDACEAE
厚葉鱗毛蕨	Dryopteris lepidopoda Hayata\nDRYOPTERIDACEAE
三角葉鱗毛蕨	Dryopteris marginata (Wall.) Christ\nDRYOPTERIDACEAE
台東鱗毛蕨	Dryopteris polita Rosenst.\nDRYOPTERIDACEAE
逆鱗鱗毛蕨	Dryopteris reflexosquamata Hayata\nDRYOPTERIDACEAE
史氏鱗毛蕨	Dryopteris scottii (Beddome) Ching\nDRYOPTERIDACEAE
鋸齒葉鱗毛蕨	Dryopteris serratodentata (Beddome) Hayata\nDRYOPTERIDACEAE
落鱗鱗毛蕨	Dryopteris sordidipes Tagawa\nDRYOPTERIDACEAE
長葉鱗毛蕨	Dryopteris sparsa (Don) Ktze.\nDRYOPTERIDACEAE
阿里山鱗毛蕨	Dryopteris squamiseta (Hook.) Ktze.\nDRYOPTERIDACEAE
細葉鱗毛蕨	Dryopteris subatrata Tagawa\nDRYOPTERIDACEAE
早田氏鱗毛蕨	Dryopteris subexaltata (Christ) C. Chr.\nDRYOPTERIDACEAE
蓬萊鱗毛蕨	Dryopteris subintegriloba Serizawa\nDRYOPTERIDACEAE
落葉鱗毛蕨	Dryopteris tenuipes (Rosenst.) Serizawa\nDRYOPTERIDACEAE
外山氏鱗毛蕨	Dryopteris toyamae Tagawa\nDRYOPTERIDACEAE
南海鱗毛蕨	Dryopteris varia (L.) Ktze.\nDRYOPTERIDACEAE
瓦氏鱗毛蕨	Dryopteris wallichiana (Spr.) Alston & Bonner\nDRYOPTERIDACEAE
二型鱗毛蕨	Dryopteris lacera (Thunb.) Kuntze\nDRYOPTERIDACEAE
毛苞擬複葉耳蕨	Leptorumohra quadripinnata (Hayata) H. Ito\nDRYOPTERIDACEAE
柄囊蕨	Peranema cyatheoides Don\nDRYOPTERIDACEAE
針葉耳蕨	Polystichum acanthophyllum (Franch.) Christ\nDRYOPTERIDACEAE
台東耳蕨	Polystichum acutidens Christ\nDRYOPTERIDACEAE
二尖耳蕨	Polystichum biaristatum (Bl.) Moore\nDRYOPTERIDACEAE
對生耳蕨	Polystichum deltodon (Bak.) Diels\nDRYOPTERIDACEAE
杜氏耳蕨	Polystichum duthiei (Hope) C. Chr.\nDRYOPTERIDACEAE
阿里山耳蕨	Polystichum eximium (Mett. & Kuhn) C. Chr.\nDRYOPTERIDACEAE
台灣耳蕨	Polystichum formosanum Rosenst.\nDRYOPTERIDACEAE
韓氏耳蕨	Polystichum hancockii (Hance) Diels\nDRYOPTERIDACEAE
鋸齒葉耳蕨	Polystichum hecatopterum Diels\nDRYOPTERIDACEAE
小耳蕨	Polystichum inaense (Tagawa) Tagawa\nDRYOPTERIDACEAE
九州耳蕨	Polystichum kiusiuense Tagawa\nDRYOPTERIDACEAE
高山耳蕨	Polystichum lachenense (Hook.) Bedd.\nDRYOPTERIDACEAE
鞭葉耳蕨	Polystichum lepidocaulon (Hook.) J. Sm.\nDRYOPTERIDACEAE
鐮葉耳蕨	Polystichum manmeiense (Christ.) Nakaike\nDRYOPTERIDACEAE
玉山耳蕨	Polystichum morii Hayata\nDRYOPTERIDACEAE
硬葉耳蕨	Polystichum neolobatum Nakai\nDRYOPTERIDACEAE
軟骨耳蕨	Polystichum nepalense (Spreng.) C. Chr.\nDRYOPTERIDACEAE
知本耳蕨	Polystichum obliquum (Don) Moore\nDRYOPTERIDACEAE
尖葉耳蕨	Polystichum parvipinnulum Tagawa\nDRYOPTERIDACEAE
黑鱗耳蕨	Polystichum piceopaleaceum Tagawa\nDRYOPTERIDACEAE
南湖耳蕨	Polystichum prescottianum (Wall. ex Mett.) Moore\nDRYOPTERIDACEAE
鋸葉耳蕨	Polystichum prionolepis Hayata\nDRYOPTERIDACEAE
芽胞耳蕨	Polystichum stenophyllum Christ\nDRYOPTERIDACEAE
兒玉氏耳蕨	Polystichum tacticopterum (Kunze) T. Moore\nDRYOPTERIDACEAE
尾葉耳蕨	Polystichum thomsonii (Hook. f.) Bedd.\nDRYOPTERIDACEAE
馬祖耳蕨	Polystichum tsussimense (Hook.) J. Sm.\nDRYOPTERIDACEAE
福山氏耳蕨	Polystichum wilsonii Christ\nDRYOPTERIDACEAE
關山耳蕨	Polystichum xiphophyllum (Bak.) Diels\nDRYOPTERIDACEAE
擬鱗毛蕨	Dryopsis fauriei Holttum & Edwards\nDRYOPTERIDACEAE
尾葉實蕨	Bolbitis heteroclita (Pr.) Ching\nLOMARIOPSIDACEAE
海南實蕨	Bolbitis subcordata (Copel.) Ching\nLOMARIOPSIDACEAE
細葉實蕨	Bolbitis angustipinna (Hayata) Ito\nLOMARIOPSIDACEAE
紅柄實蕨	Bolbitis scalpturata (Fée) Ching\nLOMARIOPSIDACEAE
南仁刺蕨	Bolbitis × nanjenensis Kuo\nLOMARIOPSIDACEAE
刺蕨	Egenolfia appendiculata (Willd.) J. Sm.\nLOMARIOPSIDACEAE
網脈刺蕨	Bolbitis × laxireticulata K. Iwats.\nLOMARIOPSIDACEAE
